name,type,condition,accuracy
total,trial_corners_forced,all,0.8141683778234087
total,trial_corners_forced,12,0.8290105667627281
total,trial_corners_forced,34,0.8567750241390408
total,trial_corners_forced,23,0.8005390835579514
total,trial_corners_forced,41,0.797092084006462
total,trial_corners_forced,24,0.7990338164251207
total,trial_corners_forced,13,0.8018018018018018
anni_cor,trial_corners_forced,all,0.7891566265060241
corners_kh38,trial_corners_forced,all,0.8141414141414142
corners_kh39,trial_corners_forced,all,0.8618677042801557
corners_kh40,trial_corners_forced,all,0.8927875243664717
corners_kh41,trial_corners_forced,all,0.8495934959349594
corners_kh42,trial_corners_forced,all,0.7283702213279678
corners_kh43,trial_corners_forced,all,0.7670682730923695
corners_kh44,trial_corners_forced,all,0.802734375
corners_kh45,trial_corners_forced,all,0.7987679671457906
corners_kh46,trial_corners_forced,all,0.8157349896480331
corners_kh47,trial_corners_forced,all,0.81
corners_kh53,trial_corners_forced,all,0.7568710359408034
corners_kh54,trial_corners_forced,all,0.8543689320388349
kh00_corners,trial_corners_forced,all,0.8606060606060606
kh25_corners,trial_corners_forced,all,0.7828571428571428
kh26_corners,trial_corners_forced,all,0.7658730158730159
kh27_corners,trial_corners_forced,all,0.7392156862745098
kh28_corners,trial_corners_forced,all,0.8385826771653543
kh29_corners,trial_corners_forced,all,0.9015151515151515
kh30_corners,trial_corners_forced,all,0.8167330677290837
kh31_corners,trial_corners_forced,all,0.8888888888888888
kh33_corners,trial_corners_forced,all,0.8478260869565217
kh34_corners,trial_corners_forced,all,0.8192307692307692
kh35_corners,trial_corners_forced,all,0.84
kh36_corners,trial_corners_forced,all,0.8639175257731959
kh37_corners,trial_corners_forced,all,0.8130081300813008
kh48_corners,trial_corners_forced,all,0.839458413926499
kh49_corners,trial_corners_forced,all,0.751937984496124
kh50_corners,trial_corners_forced,all,0.6217303822937625
kh51_corners,trial_corners_forced,all,0.6948453608247422
kh52_corners,trial_corners_forced,all,0.8199233716475096
laurilab,trial_corners_forced,all,0.8557504873294347
otto,trial_corners_forced,all,0.8854625550660793
Samuel,trial_corners_forced,all,0.8772321428571429
teemu,trial_corners_forced,all,0.74
tero_eta,trial_corners_forced,all,0.8795918367346939
anni_cor,trial_corners_forced,12,0.8333333333333334
corners_kh38,trial_corners_forced,12,0.881578947368421
corners_kh39,trial_corners_forced,12,0.9047619047619048
corners_kh40,trial_corners_forced,12,0.8625
corners_kh41,trial_corners_forced,12,0.8441558441558441
corners_kh42,trial_corners_forced,12,0.7162162162162162
corners_kh43,trial_corners_forced,12,0.7901234567901234
corners_kh44,trial_corners_forced,12,0.8152173913043478
corners_kh45,trial_corners_forced,12,0.8255813953488372
corners_kh46,trial_corners_forced,12,0.7866666666666666
corners_kh47,trial_corners_forced,12,0.8953488372093024
corners_kh53,trial_corners_forced,12,0.7241379310344828
corners_kh54,trial_corners_forced,12,0.8651685393258427
kh00_corners,trial_corners_forced,12,0.7848101265822784
kh25_corners,trial_corners_forced,12,0.8860759493670886
kh26_corners,trial_corners_forced,12,0.76
kh27_corners,trial_corners_forced,12,0.7422680412371134
kh28_corners,trial_corners_forced,12,0.7956989247311828
kh29_corners,trial_corners_forced,12,0.8625
kh30_corners,trial_corners_forced,12,0.9032258064516129
kh31_corners,trial_corners_forced,12,0.8787878787878788
kh33_corners,trial_corners_forced,12,0.9012345679012346
kh34_corners,trial_corners_forced,12,0.8831168831168831
kh35_corners,trial_corners_forced,12,0.788235294117647
kh36_corners,trial_corners_forced,12,0.8734177215189873
kh37_corners,trial_corners_forced,12,0.8271604938271605
kh48_corners,trial_corners_forced,12,0.8494623655913979
kh49_corners,trial_corners_forced,12,0.7640449438202247
kh50_corners,trial_corners_forced,12,0.6195652173913043
kh51_corners,trial_corners_forced,12,0.7325581395348837
kh52_corners,trial_corners_forced,12,0.8255813953488372
laurilab,trial_corners_forced,12,0.8888888888888888
otto,trial_corners_forced,12,0.8933333333333333
Samuel,trial_corners_forced,12,0.9195402298850575
teemu,trial_corners_forced,12,0.8217821782178217
tero_eta,trial_corners_forced,12,0.9178082191780822
anni_cor,trial_corners_forced,34,0.8235294117647058
corners_kh38,trial_corners_forced,34,0.8493150684931506
corners_kh39,trial_corners_forced,34,0.8875
corners_kh40,trial_corners_forced,34,0.9705882352941176
corners_kh41,trial_corners_forced,34,0.8765432098765432
corners_kh42,trial_corners_forced,34,0.7857142857142857
corners_kh43,trial_corners_forced,34,0.8690476190476191
corners_kh44,trial_corners_forced,34,0.8913043478260869
corners_kh45,trial_corners_forced,34,0.7333333333333333
corners_kh46,trial_corners_forced,34,0.8809523809523809
corners_kh47,trial_corners_forced,34,0.9120879120879121
corners_kh53,trial_corners_forced,34,0.7532467532467533
corners_kh54,trial_corners_forced,34,0.8823529411764706
kh00_corners,trial_corners_forced,34,0.8854166666666666
kh25_corners,trial_corners_forced,34,0.851063829787234
kh26_corners,trial_corners_forced,34,0.7954545454545454
kh27_corners,trial_corners_forced,34,0.7674418604651163
kh28_corners,trial_corners_forced,34,0.8588235294117647
kh29_corners,trial_corners_forced,34,0.9438202247191011
kh30_corners,trial_corners_forced,34,0.8985507246376812
kh31_corners,trial_corners_forced,34,0.9294117647058824
kh33_corners,trial_corners_forced,34,0.898876404494382
kh34_corners,trial_corners_forced,34,0.9120879120879121
kh35_corners,trial_corners_forced,34,0.8571428571428571
kh36_corners,trial_corners_forced,34,0.8717948717948718
kh37_corners,trial_corners_forced,34,0.8333333333333334
kh48_corners,trial_corners_forced,34,0.8333333333333334
kh49_corners,trial_corners_forced,34,0.75
kh50_corners,trial_corners_forced,34,0.7126436781609196
kh51_corners,trial_corners_forced,34,0.8255813953488372
kh52_corners,trial_corners_forced,34,0.9375
laurilab,trial_corners_forced,34,0.875
otto,trial_corners_forced,34,0.8472222222222222
Samuel,trial_corners_forced,34,0.9722222222222222
teemu,trial_corners_forced,34,0.8076923076923077
tero_eta,trial_corners_forced,34,0.9069767441860465
anni_cor,trial_corners_forced,23,0.8235294117647058
corners_kh38,trial_corners_forced,23,0.8235294117647058
corners_kh39,trial_corners_forced,23,0.8311688311688312
corners_kh40,trial_corners_forced,23,0.891566265060241
corners_kh41,trial_corners_forced,23,0.9012345679012346
corners_kh42,trial_corners_forced,23,0.7444444444444445
corners_kh43,trial_corners_forced,23,0.7640449438202247
corners_kh44,trial_corners_forced,23,0.7536231884057971
corners_kh45,trial_corners_forced,23,0.7733333333333333
corners_kh46,trial_corners_forced,23,0.8181818181818182
corners_kh47,trial_corners_forced,23,0.7628865979381443
corners_kh53,trial_corners_forced,23,0.8539325842696629
corners_kh54,trial_corners_forced,23,0.8275862068965517
kh00_corners,trial_corners_forced,23,0.9285714285714286
kh25_corners,trial_corners_forced,23,0.7088607594936709
kh26_corners,trial_corners_forced,23,0.7951807228915663
kh27_corners,trial_corners_forced,23,0.7702702702702703
kh28_corners,trial_corners_forced,23,0.8
kh29_corners,trial_corners_forced,23,0.9042553191489362
kh30_corners,trial_corners_forced,23,0.7738095238095238
kh31_corners,trial_corners_forced,23,0.9473684210526315
kh33_corners,trial_corners_forced,23,0.8024691358024691
kh34_corners,trial_corners_forced,23,0.7439024390243902
kh35_corners,trial_corners_forced,23,0.8863636363636364
kh36_corners,trial_corners_forced,23,0.8
kh37_corners,trial_corners_forced,23,0.8082191780821918
kh48_corners,trial_corners_forced,23,0.8941176470588236
kh49_corners,trial_corners_forced,23,0.7283950617283951
kh50_corners,trial_corners_forced,23,0.5862068965517241
kh51_corners,trial_corners_forced,23,0.625
kh52_corners,trial_corners_forced,23,0.7692307692307693
laurilab,trial_corners_forced,23,0.8089887640449438
otto,trial_corners_forced,23,0.8714285714285714
Samuel,trial_corners_forced,23,0.8378378378378378
teemu,trial_corners_forced,23,0.6533333333333333
tero_eta,trial_corners_forced,23,0.8089887640449438
anni_cor,trial_corners_forced,41,0.6790123456790124
corners_kh38,trial_corners_forced,41,0.7840909090909091
corners_kh39,trial_corners_forced,41,0.8202247191011236
corners_kh40,trial_corners_forced,41,0.8876404494382022
corners_kh41,trial_corners_forced,41,0.8494623655913979
corners_kh42,trial_corners_forced,41,0.7674418604651163
corners_kh43,trial_corners_forced,41,0.6511627906976745
corners_kh44,trial_corners_forced,41,0.7692307692307693
corners_kh45,trial_corners_forced,41,0.8846153846153846
corners_kh46,trial_corners_forced,41,0.9148936170212766
corners_kh47,trial_corners_forced,41,0.7283950617283951
corners_kh53,trial_corners_forced,41,0.7608695652173914
corners_kh54,trial_corners_forced,41,0.9318181818181818
kh00_corners,trial_corners_forced,41,0.8681318681318682
kh25_corners,trial_corners_forced,41,0.7
kh26_corners,trial_corners_forced,41,0.6705882352941176
kh27_corners,trial_corners_forced,41,0.6962025316455697
kh28_corners,trial_corners_forced,41,0.8148148148148148
kh29_corners,trial_corners_forced,41,0.9340659340659341
kh30_corners,trial_corners_forced,41,0.7922077922077922
kh31_corners,trial_corners_forced,41,0.9
kh33_corners,trial_corners_forced,41,0.8051948051948052
kh34_corners,trial_corners_forced,41,0.7816091954022989
kh35_corners,trial_corners_forced,41,0.8769230769230769
kh36_corners,trial_corners_forced,41,0.9036144578313253
kh37_corners,trial_corners_forced,41,0.7634408602150538
kh48_corners,trial_corners_forced,41,0.8082191780821918
kh49_corners,trial_corners_forced,41,0.7625
kh50_corners,trial_corners_forced,41,0.5512820512820513
kh51_corners,trial_corners_forced,41,0.6597938144329897
kh52_corners,trial_corners_forced,41,0.7640449438202247
laurilab,trial_corners_forced,41,0.8681318681318682
otto,trial_corners_forced,41,0.9512195121951219
Samuel,trial_corners_forced,41,0.8356164383561644
teemu,trial_corners_forced,41,0.6805555555555556
tero_eta,trial_corners_forced,41,0.8378378378378378
anni_cor,trial_corners_forced,24,0.7835051546391752
corners_kh38,trial_corners_forced,24,0.7790697674418605
corners_kh39,trial_corners_forced,24,0.898876404494382
corners_kh40,trial_corners_forced,24,0.8541666666666666
corners_kh41,trial_corners_forced,24,0.8170731707317073
corners_kh42,trial_corners_forced,24,0.6777777777777778
corners_kh43,trial_corners_forced,24,0.7625
corners_kh44,trial_corners_forced,24,0.7926829268292683
corners_kh45,trial_corners_forced,24,0.813953488372093
corners_kh46,trial_corners_forced,24,0.7368421052631579
corners_kh47,trial_corners_forced,24,0.7619047619047619
corners_kh53,trial_corners_forced,24,0.6438356164383562
corners_kh54,trial_corners_forced,24,0.8333333333333334
kh00_corners,trial_corners_forced,24,0.881578947368421
kh25_corners,trial_corners_forced,24,0.7857142857142857
kh26_corners,trial_corners_forced,24,0.7857142857142857
kh27_corners,trial_corners_forced,24,0.7023809523809523
kh28_corners,trial_corners_forced,24,0.8636363636363636
kh29_corners,trial_corners_forced,24,0.8690476190476191
kh30_corners,trial_corners_forced,24,0.8
kh31_corners,trial_corners_forced,24,0.8414634146341463
kh33_corners,trial_corners_forced,24,0.8247422680412371
kh34_corners,trial_corners_forced,24,0.7604166666666666
kh35_corners,trial_corners_forced,24,0.810126582278481
kh36_corners,trial_corners_forced,24,0.7866666666666666
kh37_corners,trial_corners_forced,24,0.8617021276595744
kh48_corners,trial_corners_forced,24,0.8068181818181818
kh49_corners,trial_corners_forced,24,0.7362637362637363
kh50_corners,trial_corners_forced,24,0.6065573770491803
kh51_corners,trial_corners_forced,24,0.6231884057971014
kh52_corners,trial_corners_forced,24,0.8690476190476191
laurilab,trial_corners_forced,24,0.8717948717948718
otto,trial_corners_forced,24,0.875
Samuel,trial_corners_forced,24,0.881578947368421
teemu,trial_corners_forced,24,0.7162162162162162
tero_eta,trial_corners_forced,24,0.891566265060241
anni_cor,trial_corners_forced,13,0.7922077922077922
corners_kh38,trial_corners_forced,13,0.7816091954022989
corners_kh39,trial_corners_forced,13,0.8108108108108109
corners_kh40,trial_corners_forced,13,0.9072164948453608
corners_kh41,trial_corners_forced,13,0.8076923076923077
corners_kh42,trial_corners_forced,13,0.6712328767123288
corners_kh43,trial_corners_forced,13,0.7692307692307693
corners_kh44,trial_corners_forced,13,0.7790697674418605
corners_kh45,trial_corners_forced,13,0.7638888888888888
corners_kh46,trial_corners_forced,13,0.7391304347826086
corners_kh47,trial_corners_forced,13,0.7804878048780488
corners_kh53,trial_corners_forced,13,0.7738095238095238
corners_kh54,trial_corners_forced,13,0.7956989247311828
kh00_corners,trial_corners_forced,13,0.8192771084337349
kh25_corners,trial_corners_forced,13,0.7578947368421053
kh26_corners,trial_corners_forced,13,0.7865168539325843
kh27_corners,trial_corners_forced,13,0.7555555555555555
kh28_corners,trial_corners_forced,13,0.8901098901098901
kh29_corners,trial_corners_forced,13,0.8888888888888888
kh30_corners,trial_corners_forced,13,0.7380952380952381
kh31_corners,trial_corners_forced,13,0.8414634146341463
kh33_corners,trial_corners_forced,13,0.8518518518518519
kh34_corners,trial_corners_forced,13,0.8390804597701149
kh35_corners,trial_corners_forced,13,0.8235294117647058
kh36_corners,trial_corners_forced,13,0.9263157894736842
kh37_corners,trial_corners_forced,13,0.7761194029850746
kh48_corners,trial_corners_forced,13,0.8409090909090909
kh49_corners,trial_corners_forced,13,0.7676767676767676
kh50_corners,trial_corners_forced,13,0.6413043478260869
kh51_corners,trial_corners_forced,13,0.68
kh52_corners,trial_corners_forced,13,0.7717391304347826
laurilab,trial_corners_forced,13,0.8297872340425532
otto,trial_corners_forced,13,0.8674698795180723
Samuel,trial_corners_forced,13,0.803030303030303
teemu,trial_corners_forced,13,0.7027027027027027
tero_eta,trial_corners_forced,13,0.9176470588235294
